2025-07-01 03:03:21,053 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:03:21,053 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:03:21,053 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:09:47,816 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:09:47,882 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:09:48,284 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:09:48,284 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:09:48,284 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:09:48,284 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:09:48,284 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:09:48,284 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:09:48,284 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:09:48,284 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:09:48,284 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:09:48,284 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:09:48,284 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:09:48,304 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:09:48,304 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:09:48,304 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:09:48,304 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:15:22,661 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:15:22,726 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:15:23,136 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:15:23,136 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:15:23,136 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:15:23,136 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:15:23,136 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:15:23,136 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:15:23,136 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:15:23,136 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:15:23,136 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:15:23,137 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:15:23,137 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:15:23,140 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:15:23,140 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:15:23,140 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:15:23,140 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:18:50,686 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:18:50,753 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:18:51,165 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:18:51,165 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:18:51,165 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:18:51,165 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:18:51,165 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:18:51,165 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:18:51,165 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:18:51,165 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:18:51,165 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:18:51,165 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:18:51,165 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:18:51,185 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:18:51,185 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:18:51,185 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:18:51,185 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:24:28,364 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:24:28,428 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:24:28,842 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:24:28,842 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:24:28,842 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:24:28,842 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:24:28,842 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:24:28,842 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:24:28,842 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:24:28,842 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:24:28,842 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:24:28,842 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:24:28,842 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:24:28,845 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:24:28,845 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:24:28,846 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:24:28,846 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:28:04,283 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:28:04,347 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:28:04,757 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:28:04,757 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:28:04,757 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:28:04,757 | YOLOv8 | INFO | Настройка тренировки завершена
